"SAMPLEID","LAT","LONG","STATIONID","COLLDATE","COLLMETH","INDEX_REGION","INDEX_NAME","ni_total","pi_OET","pt_ffg_pred","pt_NonIns","pt_POET","pt_tv_toler","pt_volt_semi"
"19-126-01",42.008243,-71.705661,"CP-BEST-P1","8/23/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",313,28.4345047923323,26.027397260274,8.21917808219178,34.2465753424658,4.10958904109589,10.958904109589
"19-126-02",42.021719,-71.684199,"CP-BEST-P11","8/23/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",323,10.5263157894737,21.0526315789474,13.1578947368421,36.8421052631579,5.26315789473684,10.5263157894737
"19-126-03",41.998161,-71.695075,"CP-BEST-P2","8/23/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",316,31.9620253164557,21.2121212121212,4.54545454545455,34.8484848484849,9.09090909090909,7.57575757575758
"19-126-04",41.574557,-71.720511,"CP-BEST-P15","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",325,26.1538461538462,21.5189873417722,20.253164556962,30.379746835443,7.59493670886076,7.59493670886076
"19-126-05",41.579676,-71.718629,"CP-BEST-P4","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",326,43.558282208589,23.0769230769231,11.5384615384615,42.3076923076923,3.84615384615385,10.2564102564103
"19-126-07",41.56443,-71.727231,"CP-BEST-P5","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",312,50,18.0327868852459,18.0327868852459,26.2295081967213,9.83606557377049,8.19672131147541
"19-126-08",41.872634,-71.408808,"LO-WORST-P1","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",300,27.6666666666667,32.6530612244898,30.6122448979592,22.4489795918367,10.2040816326531,4.08163265306122
"19-126-09",41.769629,-71.452045,"LO-WORST-P3","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",302,37.4172185430464,19.6428571428571,25,21.4285714285714,23.2142857142857,1.78571428571429
"19-126-10",41.797131,-71.479722,"LO-WORST-P8","8/24/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",321,38.6292834890966,17.2413793103448,36.2068965517241,25.8620689655172,13.7931034482759,1.72413793103448
"19-126-11",41.580375,-71.7214,"CP-BEST-P12","8/25/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",338,49.7041420118343,23.0769230769231,18.4615384615385,36.9230769230769,9.23076923076923,3.07692307692308
"19-126-12",41.594501,-71.720385,"CP-BEST-P13","8/25/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",327,41.8960244648318,23.6842105263158,10.5263157894737,40.7894736842105,2.63157894736842,6.57894736842105
"19-126-13",41.623888,-71.757908,"CP-BEST-P14","8/25/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",348,31.8965517241379,26.865671641791,8.95522388059701,41.7910447761194,2.98507462686567,10.4477611940299
"19-126-14",41.374694,-71.716451,"LO-BEST-P4","8/25/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",319,25.3918495297806,25.4901960784314,7.84313725490196,39.2156862745098,5.88235294117647,5.88235294117647
"19-126-15",41.485968,-71.56613,"LO-WORST-P4","8/25/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",330,34.5454545454545,23.2142857142857,16.0714285714286,30.3571428571429,10.7142857142857,5.35714285714286
"19-126-16",41.517008,-71.526215,"LO-WORST-R2","8/25/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",319,38.2445141065831,19.3548387096774,19.3548387096774,30.6451612903226,12.9032258064516,1.61290322580645
"19-126-17",41.611783,-71.623135,"CP-BEST-P6","8/26/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",312,18.5897435897436,29.6296296296296,14.8148148148148,38.8888888888889,7.40740740740741,3.7037037037037
"19-126-18",41.539436,-71.641848,"CP-BEST-P7","8/26/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",310,44.5161290322581,24.5901639344262,6.55737704918033,36.0655737704918,1.63934426229508,4.91803278688525
"19-126-19",41.512167,-71.641694,"CP-BEST-R2","8/26/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",318,41.8238993710692,20.8955223880597,5.97014925373134,41.7910447761194,2.98507462686567,11.9402985074627
"19-126-21",42.198319,-71.827439,"CP-WORST-R1","8/26/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",324,4.32098765432099,26,32,20,20,2
"19-126-22",42.085354,-71.629683,"CP-WORST-R2","8/26/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",308,61.3636363636364,17.741935483871,9.67741935483871,46.7741935483871,8.06451612903226,1.61290322580645
"19-126-24",41.847516,-71.612989,"CP-BEST-P10","8/27/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",309,42.0711974110032,22.6415094339623,28.3018867924528,26.4150943396226,13.2075471698113,3.77358490566038
"19-126-25",41.626145,-71.631238,"CP-BEST-R1","8/27/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",317,36.2776025236593,23.0769230769231,12.8205128205128,37.1794871794872,5.12820512820513,10.2564102564103
"19-126-26",42.09307,-71.53349,"CP-WORST-P6","8/27/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",320,25,20.8955223880597,20.8955223880597,22.3880597014925,11.9402985074627,2.98507462686567
"19-126-27",41.995556,-71.159336,"LO-BEST-P13","8/27/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",337,11.5727002967359,28.5714285714286,22.8571428571429,28.5714285714286,11.4285714285714,0
"19-126-28",41.966095,-71.175303,"LO-BEST-P14","8/27/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",334,7.78443113772455,25,18.1818181818182,34.0909090909091,18.1818181818182,2.27272727272727
"19-126-29",42.018509,-71.125946,"LO-BEST-P15","8/27/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",325,27.3846153846154,23.0769230769231,13.8461538461538,32.3076923076923,12.3076923076923,6.15384615384615
"19-126-30",42.093805,-71.011509,"CP-WORST-P1","8/28/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",323,6.5015479876161,28.5714285714286,26.1904761904762,19.047619047619,23.8095238095238,0
"19-126-31",41.716955,-71.088929,"LO-BEST-P2","8/28/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",303,36.6336633663366,20.5128205128205,7.69230769230769,33.3333333333333,5.12820512820513,2.56410256410256
"19-126-32",41.960041,-71.235573,"LO-BEST-P6","8/28/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",302,9.93377483443709,27.2727272727273,11.3636363636364,18.1818181818182,13.6363636363636,2.27272727272727
"19-126-33",41.682489,-71.017475,"LO-BEST-P9","8/28/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",305,21.9672131147541,26.530612244898,12.2448979591837,24.4897959183673,8.16326530612245,4.08163265306122
"19-126-34",41.669657,-71.026565,"LO-BEST-R2","8/28/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",339,19.4690265486726,16.6666666666667,4.76190476190476,38.0952380952381,2.38095238095238,4.76190476190476
"19-126-35",41.965284,-70.898969,"LO-WORST-P6","8/28/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",325,0.923076923076923,20.8333333333333,33.3333333333333,8.33333333333333,20.8333333333333,0
"19-126-37",41.587701,-70.525492,"CAPE-P4","8/29/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",343,20.6997084548105,18.8679245283019,18.8679245283019,28.3018867924528,13.2075471698113,1.88679245283019
"19-126-38",41.767765,-70.635687,"CAPE-P6","8/29/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",317,5.36277602523659,17.1428571428571,28.5714285714286,20,14.2857142857143,2.85714285714286
"19-126-39",41.774553,-71.085425,"LO-BEST-P1","8/29/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",309,41.4239482200647,28.2608695652174,6.52173913043478,41.304347826087,4.34782608695652,6.52173913043478
"19-126-40",41.772798,-70.985684,"LO-BEST-P10","8/29/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",309,24.5954692556634,37.5,14.5833333333333,25,6.25,4.16666666666667
"19-126-41",41.842433,-70.864275,"LO-BEST-P12","8/29/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",324,15.4320987654321,17.5,27.5,25,15,7.5
"19-126-43",41.629541,-70.483533,"CAPE-P1","8/30/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",331,24.4712990936556,20.4545454545455,13.6363636363636,43.1818181818182,6.81818181818182,6.81818181818182
"19-126-44",41.592323,-70.507393,"CAPE-P3","8/30/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",316,18.9873417721519,26.530612244898,30.6122448979592,28.5714285714286,18.3673469387755,2.04081632653061
"19-126-45",41.62863,-70.451455,"CAPE-P5","8/30/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",329,24.3161094224924,23.2558139534884,27.906976744186,32.5581395348837,13.953488372093,2.32558139534884
"19-126-46",41.872506,-71.315224,"LO-Best-R11","8/30/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",319,59.5611285266458,22.4489795918367,26.530612244898,20.4081632653061,8.16326530612245,0
"19-126-47",41.839475,-71.410536,"LO-Worst-R1","8/30/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",344,22.093023255814,13.3333333333333,44.4444444444444,17.7777777777778,15.5555555555556,0
"19-126-48",42.241556,-71.803181,"CP-WORST-P2","8/31/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",314,18.7898089171975,6.25,27.0833333333333,20.8333333333333,25,0
"19-126-49",42.215523,-71.838955,"CP-WORST-R3","8/31/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",357,22.1288515406162,14.2857142857143,22.8571428571429,31.4285714285714,17.1428571428571,11.4285714285714
"19-126-50",42.100901,-70.977109,"NEW-BROC3","8/31/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",331,13.595166163142,18.1818181818182,45.4545454545455,6.06060606060606,18.1818181818182,0
"19-126-51",42.02263,-70.915833,"NEW-BROC5","8/31/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",299,18.7290969899666,18.1818181818182,20,20,14.5454545454545,1.81818181818182
"19-126-52",42.062829,-70.909008,"NEW-BROC6","8/31/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",306,32.6797385620915,29.2682926829268,21.9512195121951,24.390243902439,14.6341463414634,2.4390243902439
"19-126-53",42.171516,-71.799972,"NEW-WORC2","8/31/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",313,37.3801916932907,15.2173913043478,21.7391304347826,34.7826086956522,8.69565217391304,10.8695652173913
"19-126-54",42.192194,-71.843437,"NEW-WORC4","8/31/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",340,5.29411764705882,21.9512195121951,29.2682926829268,12.1951219512195,26.8292682926829,2.4390243902439
"19-126-55",42.023354,-71.273407,"LO-BEST-R7","9/1/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",319,34.4827586206897,25.3333333333333,22.6666666666667,26.6666666666667,12,0
"19-126-56",42.083322,-71.032694,"NEW-BROC1","9/1/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",352,13.0681818181818,30.7692307692308,36.5384615384615,17.3076923076923,28.8461538461538,1.92307692307692
"19-126-57",42.069592,-71.010552,"NEW-BROC2","9/1/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",322,16.1490683229814,24.390243902439,29.2682926829268,21.9512195121951,14.6341463414634,2.4390243902439
"19-126-58",42.181874,-71.627189,"CP-BEST-R4","9/2/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",313,40.2555910543131,26.4150943396226,20.7547169811321,28.3018867924528,5.66037735849057,3.77358490566038
"19-126-59",41.833416,-71.276921,"LO-BEST-R9","9/2/2019","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",334,28.7425149700599,23.728813559322,16.9491525423729,28.8135593220339,10.1694915254237,3.38983050847458
"2013001",41.702893,-70.104775,"B0851","7/1/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",312,36.8589743589744,15.625,18.75,40.625,18.75,3.125
"2013002",41.643578,-70.453369,"B0850","7/1/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",280,23.2142857142857,15.1515151515152,48.4848484848485,9.09090909090909,27.2727272727273,0
"2013003",41.727899,-70.798142,"B0832","7/2/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",323,4.64396284829721,15.9090909090909,38.6363636363636,13.6363636363636,15.9090909090909,0
"2013004",41.727408,-70.856356,"B0855","7/2/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",317,13.8801261829653,17.6470588235294,23.5294117647059,26.4705882352941,11.7647058823529,0
"2013005",41.679671,-70.840825,"B0847","7/3/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",289,14.5328719723183,29.1666666666667,16.6666666666667,27.0833333333333,10.4166666666667,4.16666666666667
"2013006",41.633384,-70.986022,"B0862","7/3/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",296,25,5.26315789473684,31.5789473684211,10.5263157894737,21.0526315789474,0
"2013008",41.63266,-71.060383,"B0827","7/8/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",276,9.78260869565217,16.6666666666667,11.1111111111111,22.2222222222222,5.55555555555556,7.40740740740741
"2013009",41.562812,-71.133855,"B0869","7/8/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",275,18.1818181818182,19.2307692307692,19.2307692307692,30.7692307692308,13.4615384615385,3.84615384615385
"2013010",41.755702,-70.983125,"B0840","7/9/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",317,29.6529968454259,33.3333333333333,36.3636363636364,21.2121212121212,21.2121212121212,3.03030303030303
"2013012",41.744702,-71.248262,"B0834","7/9/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",305,22.9508196721311,10.5263157894737,23.6842105263158,18.4210526315789,21.0526315789474,2.63157894736842
"2013013",41.777309,-71.192532,"B0846","7/10/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",360,48.8888888888889,23.6842105263158,28.9473684210526,31.5789473684211,15.7894736842105,0
"2013014",41.800693,-71.304341,"B0842","7/10/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",313,11.5015974440895,18.1818181818182,45.4545454545455,9.09090909090909,31.8181818181818,0
"2013015",41.830588,-71.329937,"B0866","7/10/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",275,9.45454545454546,18.9189189189189,21.6216216216216,16.2162162162162,13.5135135135135,2.7027027027027
"2013017",41.846114,-71.262551,"B0838","7/11/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",283,16.9611307420495,14.2857142857143,19.047619047619,19.047619047619,14.2857142857143,2.38095238095238
"2013018",41.907438,-70.979916,"B0837","7/11/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",279,6.45161290322581,25,27.2727272727273,15.9090909090909,20.4545454545455,6.81818181818182
"2013019.A",42.086583,-70.756947,"B0857","7/16/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",301,42.8571428571429,17.7777777777778,17.7777777777778,28.8888888888889,8.88888888888889,4.44444444444444
"2013019.B",42.086583,-70.756947,"B0857","7/16/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",313,40.8945686900958,17.0212765957447,17.0212765957447,34.0425531914894,8.51063829787234,2.12765957446809
"2013019.C",42.086583,-70.756947,"B0857","7/16/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",310,38.0645161290323,18.1818181818182,20,30.9090909090909,9.09090909090909,5.45454545454545
"2013020",42.042388,-70.898462,"B0841","7/16/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",296,57.0945945945946,9.30232558139535,20.9302325581395,30.2325581395349,16.2790697674419,2.32558139534884
"2013021",42.068117,-70.914242,"B0845","7/17/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",279,2.5089605734767,15.3846153846154,20.5128205128205,10.2564102564103,12.8205128205128,0
"2013022",42.018472,-70.922526,"B0833","7/17/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",277,33.9350180505415,22.5,20,27.5,17.5,2.5
"2013023.A",41.997462,-70.953869,"B0863","7/17/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",306,15.0326797385621,20,20,26.6666666666667,15.5555555555556,2.22222222222222
"2013023.B",41.997462,-70.953869,"B0863","7/17/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",309,11.0032362459547,17.7777777777778,22.2222222222222,22.2222222222222,22.2222222222222,2.22222222222222
"2013023.C",41.997462,-70.953869,"B0863","7/17/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",308,9.74025974025974,19.047619047619,30.952380952381,16.6666666666667,26.1904761904762,0
"2013024",41.881423,-70.909427,"B0854","7/18/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",298,2.3489932885906,13.5135135135135,48.6486486486486,8.10810810810811,35.1351351351351,0
"2013026",41.909381,-71.098124,"B0848","7/18/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",274,21.5328467153285,17.0212765957447,27.6595744680851,19.1489361702128,19.1489361702128,0
"2013027.A",41.932518,-71.077577,"B0858","7/22/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",278,15.4676258992806,23.5294117647059,20.5882352941176,14.7058823529412,11.7647058823529,5.88235294117647
"2013027.B",41.932518,-71.077577,"B0858","7/22/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",264,14.0151515151515,23.3333333333333,23.3333333333333,16.6666666666667,13.3333333333333,6.66666666666667
"2013027.C",41.932518,-71.077577,"B0858","7/22/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",285,11.5789473684211,22.5,25,12.5,17.5,5
"2013028",41.988368,-71.035453,"B0839","7/22/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",292,0,25,75,0,62.5,0
"2013029",42.015585,-71.052662,"B0843","7/22/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",293,37.542662116041,18.9189189189189,24.3243243243243,29.7297297297297,16.2162162162162,2.7027027027027
"2013030",42.075428,-71.009638,"B0864","7/23/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",270,5.92592592592593,8.51063829787234,27.6595744680851,8.51063829787234,27.6595744680851,0
"2013031",42.082574,-71.030076,"B0836","7/23/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",275,6.18181818181818,16.2162162162162,29.7297297297297,10.8108108108108,18.9189189189189,0
"2013032",42.061126,-71.216586,"B0835","7/23/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",269,25.2788104089219,15.2173913043478,32.6086956521739,21.7391304347826,19.5652173913043,0
"2013033",42.005027,-71.213447,"B0860","7/23/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",309,40.1294498381877,18.1818181818182,18.1818181818182,34.0909090909091,11.3636363636364,4.54545454545455
"2013034",41.989495,-71.173717,"B0852","7/24/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",273,18.3150183150183,14.7058823529412,20.5882352941176,20.5882352941176,20.5882352941176,0
"2013035",41.949458,-71.175526,"B0865","7/24/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",276,15.9420289855072,6.52173913043478,23.9130434782609,26.0869565217391,10.8695652173913,0
"2013036",42.199476,-70.862069,"B0861","7/25/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",299,9.69899665551839,18.4210526315789,21.0526315789474,23.6842105263158,21.0526315789474,0
"2013037.A",42.242442,-70.859057,"B0132","7/25/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",321,20.2492211838006,12.5,15,22.5,7.5,5
"2013037.B",42.242442,-70.859057,"B0132","7/25/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",346,19.9421965317919,10.5263157894737,21.0526315789474,21.0526315789474,13.1578947368421,7.89473684210526
"2013037.C",42.242442,-70.859057,"B0132","7/25/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",335,20.8955223880597,13.0434782608696,21.7391304347826,21.7391304347826,13.0434782608696,6.52173913043478
"2013038",42.24343,-71.094378,"B0844","7/25/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",286,9.09090909090909,14.2857142857143,20,14.2857142857143,22.8571428571429,0
"2013039",42.495119,-71.136137,"B0849","7/29/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",323,0.928792569659443,15,40,10,30,0
"2013042",42.664623,-71.753811,"B0868","7/30/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",308,36.3636363636364,18.3333333333333,5,36.6666666666667,8.33333333333333,10
"2013048",41.952551,-71.224761,"B0831","8/1/2013","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",325,37.5384615384615,18,16,38,8,8
"2014006.A",42.664623,-71.753811,"B0868","7/7/2014","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",308,23.0519480519481,26.6666666666667,5,45,1.66666666666667,15
"2014006.B",42.664623,-71.753811,"B0868","7/7/2014","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",324,23.7654320987654,21.6666666666667,3.33333333333333,36.6666666666667,1.66666666666667,11.6666666666667
"2014006.C",42.664623,-71.753811,"B0868","7/7/2014","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",296,26.3513513513514,18,4,42,0,10
"2014010",42.47217,-72.256802,"B0902","7/10/2014","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",292,21.9178082191781,26.6666666666667,5,36.6666666666667,5,3.33333333333333
"2014013",41.562812,-71.133855,"B0869","7/14/2014","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",301,20.9302325581395,22.972972972973,12.1621621621622,32.4324324324324,10.8108108108108,8.10810810810811
"2014014.A",41.63266,-71.060383,"B0827","7/14/2014","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",295,8.47457627118644,25,13.4615384615385,25,9.61538461538461,9.61538461538461
"2014014.B",41.63266,-71.060383,"B0827","7/14/2014","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",337,13.6498516320475,22,16,30,12,10
"2014014.C",41.63266,-71.060383,"B0827","7/14/2014","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",378,19.3121693121693,27.6595744680851,10.6382978723404,31.9148936170213,8.51063829787234,8.51063829787234
"2014015",41.772548,-71.084948,"B0468","7/14/2014","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",290,18.2758620689655,30.3030303030303,6.06060606060606,27.2727272727273,6.06060606060606,9.09090909090909
"2014019",42.079834,-72.565564,"B0873","7/16/2014","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",335,12.5373134328358,16.6666666666667,16.6666666666667,8.33333333333333,22.2222222222222,0
"2014020",42.037302,-72.699906,"B0872","7/16/2014","Multihab","LOWGRADIENTIBI","SNEP_2020_Bugs",298,23.1543624161074,16.6666666666667,11.6666666666667,23.3333333333333,11.6666666666667,1.66666666666667
